Product_Display_Name,GUID,Service_Plan_Id,Service_Plans_Included_Friendly_Names
Azure Information Protection Plan 1,a0e6a48f-b056-4037-af70-b9ac53504551,113feb6c-3fe4-4440-bddc-54d774bf0318,Exchange Foundation
Azure Information Protection Plan 1,a0e6a48f-b056-4037-af70-b9ac53504551,6c57d4b6-3b23-47a5-9bc9-69f17b4947b3,Azure Information Protection Premium P1
Azure Information Protection Plan 1,a0e6a48f-b056-4037-af70-b9ac53504551,bea4c11e-220a-4e6d-8eb8-8ea15d019f90,Azure Rights Management
Azure Information Protection Premium P1_USGOV_GCCHIGH,c57afa2a-d468-46c4-9a90-f86cb1b3c54a,113feb6c-3fe4-4440-bddc-54d774bf0318,Exchange Foundation
Azure Information Protection Premium P1_USGOV_GCCHIGH,c57afa2a-d468-46c4-9a90-f86cb1b3c54a,6c57d4b6-3b23-47a5-9bc9-69f17b4947b3,Azure Information Protection Premium P1
Azure Information Protection Premium P1_USGOV_GCCHIGH,c57afa2a-d468-46c4-9a90-f86cb1b3c54a,bea4c11e-220a-4e6d-8eb8-8ea15d019f90,Azure Rights Management
Basic Collaboration,4468c39a-28b2-42fb-9094-840bcf28771f,9aaf7827-d63c-4b61-89c3-182f06f82e5c,Exchange Online (Plan 1)
Basic Collaboration,4468c39a-28b2-42fb-9094-840bcf28771f,b4ac11a0-32ff-4e78-982d-e039fa803dec,Office for the web with OneDrive for business
Basic Collaboration,4468c39a-28b2-42fb-9094-840bcf28771f,448898aa-3ae7-478c-b49a-1fac7a8a35cf,Skype Meetings
Basic Collaboration,4468c39a-28b2-42fb-9094-840bcf28771f,6db7aeea-6c4a-475d-bbb0-7338bc73d646,Yammer
Business Apps (free),90d8b3f8-712e-4f7b-aa1e-62e7ae6cbe96,39b5c996-467e-4e60-bd62-46066f572726,Microsoft Invoicing
Business Apps (free),90d8b3f8-712e-4f7b-aa1e-62e7ae6cbe96,199a5c09-e0ca-4e37-8f7c-b05d533e1ea2,Microsoft Bookings
Common Data Service for Apps File Capacity,631d5fb1-a668-4c2a-9427-8830665a742e,dd12a3a8-caec-44f8-b4fb-2f1a864b51e3,Common Data Service for Apps File Capacity
Common Data Service for Apps File Capacity,631d5fb1-a668-4c2a-9427-8830665a742e,113feb6c-3fe4-4440-bddc-54d774bf0318,Exchange Foundation
Common Data Service Database Capacity,e612d426-6bc3-4181-9658-91aa906b0ac0,360bcc37-0c11-4264-8eed-9fa7a3297c9b,Common Data Service for Apps Database Capacity
Common Data Service Database Capacity,e612d426-6bc3-4181-9658-91aa906b0ac0,113feb6c-3fe4-4440-bddc-54d774bf0318,Exchange Foundation
Common Data Service Database Capacity for Government,eddf428b-da0e-4115-accf-b29eb0b83965,1ddffef6-4f69-455e-89c7-d5d72105f915,Common Data Service for Apps Database Capacity for Government
Common Data Service Database Capacity for Government,eddf428b-da0e-4115-accf-b29eb0b83965,922ba911-5694-4e99-a794-73aed9bfeec8,Exchange Foundation for Government
Common Data Service Log Capacity,448b063f-9cc6-42fc-a0e6-40e08724a395,dc48f5c5-e87d-43d6-b884-7ac4a59e7ee9,Common Data Service for Apps Log Capacity
Common Data Service Log Capacity,448b063f-9cc6-42fc-a0e6-40e08724a395,113feb6c-3fe4-4440-bddc-54d774bf0318,Exchange Foundation
Communications Credits,47794cd0-f0e5-45c5-9033-2eb6b5fc84e0,505e180f-f7e0-4b65-91d4-00d670bbd18c,COMMUNICATIONS CREDITS
Compliance Manager Premium Assessment Add-On,8a5fbbed-8b8c-41e5-907e-c50c471340fd,3a117d30-cfac-4f00-84ac-54f8b6a18d78,Compliance Manager Premium Assessment Add-On
Compliance Manager Premium Assessment Add-On for GCC,a9d7ef53-9bea-4a2a-9650-fa7df58fe094,3a117d30-cfac-4f00-84ac-54f8b6a18d78,Compliance Manager Premium Assessment Add-On
Defender Threat Intelligence,a9c51c15-ffad-4c66-88c0-8771455c832d,fbdb91e6-7bfd-4a1f-8f7a-d27f4ef39702,Defender Threat Intelligence
Digital Messaging for GCC Test SKU,064a9707-9dba-4cc1-9902-38bfcfda6328,b9f7ce72-67ff-4695-a9d9-5ff620232024,Dynamics 365 Customer Service Chat Application Integration for Government
Digital Messaging for GCC Test SKU,064a9707-9dba-4cc1-9902-38bfcfda6328,9d37aa61-3cc3-457c-8b54-e6f3853aa6b6,Dynamics 365 Customer Service Digital Messaging add-on for Government
Digital Messaging for GCC Test SKU,064a9707-9dba-4cc1-9902-38bfcfda6328,e304c3c3-f86c-4200-b174-1ade48805b22,Dynamics 365 Customer Service Digital Messaging application integration for Government
Digital Messaging for GCC Test SKU,064a9707-9dba-4cc1-9902-38bfcfda6328,ffb878a5-3184-472b-800b-65eadc63d764,Dynamics 365 for Customer Service Chat for Government
Digital Messaging for GCC Test SKU,064a9707-9dba-4cc1-9902-38bfcfda6328,9023fe69-f9e0-4c1e-bfde-654954469162,Power Virtual Agents for Chat for Gov
Digital Messaging for GCC Test SKU,064a9707-9dba-4cc1-9902-38bfcfda6328,e501d49b-1176-4816-aece-2563c0d995db,Power Virtual Agents for Digital Messaging for Gov
Dynamics 365 - Additional Database Storage (Qualified Offer),328dc228-00bc-48c6-8b09-1fbc8bc3435d,113feb6c-3fe4-4440-bddc-54d774bf0318,Exchange Foundation
Dynamics 365 - Additional Database Storage (Qualified Offer),328dc228-00bc-48c6-8b09-1fbc8bc3435d,77866113-0f3e-4e6e-9666-b1e25c6f99b0,Microsoft Dynamics CRM Online Storage Add-On
Dynamics 365 - Additional Production Instance (Qualified Offer),9d776713-14cb-4697-a21d-9a52455c738a,113feb6c-3fe4-4440-bddc-54d774bf0318,Exchange Foundation
Dynamics 365 - Additional Production Instance (Qualified Offer),9d776713-14cb-4697-a21d-9a52455c738a,eeea837a-c885-4167-b3d5-ddde30cbd85f,Microsoft Dynamics CRM Online Instance
Dynamics 365 - Additional Non-Production Instance (Qualified Offer),e06abcc2-7ec5-4a79-b08b-d9c282376f72,113feb6c-3fe4-4440-bddc-54d774bf0318,Exchange Foundation
Dynamics 365 - Additional Non-Production Instance (Qualified Offer),e06abcc2-7ec5-4a79-b08b-d9c282376f72,a98b7619-66c7-4885-bdfc-1d9c8c3d279f,Microsoft Dynamics CRM Online Additional Test Instance
Dynamics 365 AI for Market Insights (Preview),c6df1e30-1c9f-427f-907c-3d913474a1c7,339f4def-5ad8-4430-8d12-da5fd4c769a7,Dynamics 365 AI for Market Insights - Free
Dynamics 365 AI for Market Insights (Preview),c6df1e30-1c9f-427f-907c-3d913474a1c7,113feb6c-3fe4-4440-bddc-54d774bf0318,Exchange Foundation
Dynamics 365 Asset Management Addl Assets,673afb9d-d85b-40c2-914e-7bf46cd5cd75,90467813-5b40-40d4-835c-abd48009b1d9,Asset Maintenance Add-in
Dynamics 365 Asset Management Addl Assets,673afb9d-d85b-40c2-914e-7bf46cd5cd75,113feb6c-3fe4-4440-bddc-54d774bf0318,Exchange Foundation
Dynamics 365 Business Central Additional Environment Addon,a58f5506-b382-44d4-bfab-225b2fbf8390,d397d6c6-9664-4502-b71c-66f39c400ca4,Dynamics 365 Business Central Additional Environment Addon
Dynamics 365 Business Central Database Capacity,7d0d4f9a-2686-4cb8-814c-eff3fdab6d74,ae6b27b3-fe31-4e77-ae06-ec5fabbc103a,Dynamics 365 Business Central Database Capacity
Dynamics 365 Business Central Database Capacity,7d0d4f9a-2686-4cb8-814c-eff3fdab6d74,113feb6c-3fe4-4440-bddc-54d774bf0318,Exchange Foundation
Dynamics 365 Business Central Essentials,2880026b-2b0c-4251-8656-5d41ff11e3aa,920656a2-7dd8-4c83-97b6-a356414dbd36,Dynamics 365 for Business Central Essentials
